doc,PC0,PC1,PC2,PC3,PC4
Chile_2012,-0.00014948165700518124,-0.0007858063343451998,4.377550272460228e-05,-2.697833328344927e-06,0.0006126747622708131
China_2004,-0.0003050685033091203,-0.0036367306161079007,0.010056446712807275,7.973261661782358e-05,-0.003733505586815537
Colombia_2005,-0.00011487367703631217,-0.0009387214102936967,0.0003652813911754625,-6.998949013701177e-06,0.0009313646528955579
Comoros_2009,-0.0001372981824405122,-0.0007042966868194343,-0.00012076038551296503,-5.438106950850242e-06,0.00030000392474912593
Congo_2001,-0.00015361824337649252,-0.000560499894646703,-0.0002981690999008551,3.692430243780823e-05,9.139264900900158e-05
Costa_Rica_2011,-0.00011146053835339847,-0.0006564876387015571,-0.0003561677824121662,7.088008752153848e-05,-6.7422824881553855e-06
Cote_DIvoire_2009,-0.0001246189208213446,-0.0006145437642384578,-0.0004054331227331145,4.9030084229281485e-05,-5.283278987881915e-05
Croatia_2001,-0.00015714112795246123,-0.0002566228418470919,-0.00026970172011808903,0.0001536761274192818,-0.00044635325159893063
Cuba_2002,-0.00010495010659357642,-0.0006976588197638884,-0.0003629399116812032,3.3817528940607675e-05,-0.00010210236501411562
Cyprus_2013,-0.00014265163139222901,-0.00016878871484632933,-0.00029952105584513393,-0.00012023009195022828,7.050332479430477e-05
Czech_Republic_2002,-0.00010361875057050517,-0.0005634781779965916,-0.0003293760163021383,-3.534870326201252e-05,0.0001387094108151797
Democratic_Republic_of_the_Congo_2011,-0.00015395560035523398,-0.0005947470587139636,-0.000287057537591034,-3.384033862870636e-05,0.00013497482199922455
Denmark_1953,-0.00019580180065916845,-7.66267480935611e-05,-0.00017692051810713852,-7.115719498289875e-05,9.053660672219568e-05
Djibouti_2010,-0.00012252926528117639,-0.0006358657442626142,-0.00041704726832701814,4.1869733818823925e-05,-5.5106937324617646e-05
Dominica_1984,-0.0004710706350296452,0.0031775455092474636,0.0007533513013995886,-0.0006681334517873271,0.0002145326918907359
Dominican_Republic_2010,-0.0001380731705100174,-0.0007985154115470763,-5.623588072739734e-05,3.5649776050782897e-06,0.0004286485193773325
East_Timor_2002,-0.00016379882337095645,-0.0004039668523565612,-0.00038497140207013067,0.00013832778417737946,-0.0002845127262501232
Ecuador_2008,-0.0001014094365664012,-0.0007632859541599638,-0.0003231382323304375,5.861847186523477e-05,-5.401622711519024e-05
Egypt_2014,-0.00014418230440533855,6.272576829645306e-05,-0.00020812631492696284,-0.0003433892856372907,0.0002046925563085294
El_Salvador_2003,-0.00011206111521050216,-0.000683383678270083,-0.00034270233105927414,3.254070284189719e-05,1.0106811663968898e-05
Equatorial_Guinea_1995,-0.00014231577344280414,-0.0005051502921644418,-0.00038769374473700713,8.614165577098931e-05,-0.00016768599959856513
Eritrea_1997,-0.0001349236150295978,-0.000584788283164259,-0.00023715604243217337,0.000333499194572061,-0.00019460895285468202
Estonia_2003,-0.00011173953637970645,-0.0005209116825648893,-0.00033013946874722644,4.0411939411811974e-05,-0.00012218268188681804
Ethiopia_1994,0.001869336863640405,0.0003521383531811216,9.958794120921157e-06,-0.00039075343607649374,0.00030540479752045355
