,term_str,x,y,cluster
2039,45,17.70617,-67.31401,"x 0 to 20, y -80 to -55"
2594,46,8.746797,-63.952297,"x 0 to 20, y -80 to -55"
2719,47,9.820877,-63.237064,"x 0 to 20, y -80 to -55"
1930,48,18.0616,-67.588745,"x 0 to 20, y -80 to -55"
2326,49,9.233821,-65.00273,"x 0 to 20, y -80 to -55"
141,5,9.714649,-75.04732,"x 0 to 20, y -80 to -55"
1718,50,14.344163,-64.43295,"x 0 to 20, y -80 to -55"
2532,51,8.96561,-64.522095,"x 0 to 20, y -80 to -55"
2833,52,9.217768,-64.21649,"x 0 to 20, y -80 to -55"
3113,53,7.1737146,-61.581898,"x 0 to 20, y -80 to -55"
2668,54,7.8501053,-63.31169,"x 0 to 20, y -80 to -55"
2545,55,8.086191,-63.206238,"x 0 to 20, y -80 to -55"
2333,56,7.1045203,-64.51763,"x 0 to 20, y -80 to -55"
2578,57,7.6225076,-63.775227,"x 0 to 20, y -80 to -55"
2866,58,8.410337,-63.984543,"x 0 to 20, y -80 to -55"
2332,59,9.392297,-66.15646,"x 0 to 20, y -80 to -55"
224,6,9.9846,-74.861404,"x 0 to 20, y -80 to -55"
1486,60,17.944754,-67.64876,"x 0 to 20, y -80 to -55"
2858,61,9.377864,-61.570225,"x 0 to 20, y -80 to -55"
3307,62,10.743434,-59.831852,"x 0 to 20, y -80 to -55"
2685,63,5.8973103,-62.1764,"x 0 to 20, y -80 to -55"
2949,64,7.1769724,-62.504726,"x 0 to 20, y -80 to -55"
2265,65,15.651089,-65.713295,"x 0 to 20, y -80 to -55"
2337,66,7.4566293,-66.434906,"x 0 to 20, y -80 to -55"
2727,67,12.6917925,-58.67565,"x 0 to 20, y -80 to -55"
3216,68,7.5815353,-57.09321,"x 0 to 20, y -80 to -55"
2936,69,8.606265,-58.99046,"x 0 to 20, y -80 to -55"
297,7,10.313364,-74.55923,"x 0 to 20, y -80 to -55"
2771,70,16.20039,-65.642746,"x 0 to 20, y -80 to -55"
3014,71,8.244692,-61.41564,"x 0 to 20, y -80 to -55"
2676,72,15.731723,-64.09138,"x 0 to 20, y -80 to -55"
3254,73,10.215159,-61.38145,"x 0 to 20, y -80 to -55"
2944,74,10.043252,-62.46111,"x 0 to 20, y -80 to -55"
2665,75,15.942508,-65.58273,"x 0 to 20, y -80 to -55"
3239,76,9.046467,-56.885258,"x 0 to 20, y -80 to -55"
2996,77,11.480462,-63.039665,"x 0 to 20, y -80 to -55"
2599,78,7.964382,-64.40248,"x 0 to 20, y -80 to -55"
2703,79,8.127543,-61.732525,"x 0 to 20, y -80 to -55"
283,8,11.304119,-73.31835,"x 0 to 20, y -80 to -55"
2895,80,15.074208,-63.834923,"x 0 to 20, y -80 to -55"
3370,81,9.822819,-57.861187,"x 0 to 20, y -80 to -55"
3356,82,10.431214,-59.841812,"x 0 to 20, y -80 to -55"
3325,83,7.880578,-56.07118,"x 0 to 20, y -80 to -55"
3138,84,12.562236,-60.83748,"x 0 to 20, y -80 to -55"
3052,85,11.606369,-60.731052,"x 0 to 20, y -80 to -55"
3026,86,11.186632,-62.27407,"x 0 to 20, y -80 to -55"
2510,87,7.9309464,-65.48492,"x 0 to 20, y -80 to -55"
3443,88,10.012513,-58.951187,"x 0 to 20, y -80 to -55"
2955,89,9.911141,-62.995087,"x 0 to 20, y -80 to -55"
