term_str,x,y,cluster
9,12.2244005,-73.38112,"x 0 to 20, y -80 to -55"
90,17.935568,-67.63029,"x 0 to 20, y -80 to -55"
91,7.982273,-65.711174,"x 0 to 20, y -80 to -55"
92,8.55984,-59.922447,"x 0 to 20, y -80 to -55"
93,8.996132,-62.852386,"x 0 to 20, y -80 to -55"
94,9.820667,-58.544876,"x 0 to 20, y -80 to -55"
95,9.3818,-60.0993,"x 0 to 20, y -80 to -55"
96,9.655393,-56.91133,"x 0 to 20, y -80 to -55"
97,11.126026,-58.694733,"x 0 to 20, y -80 to -55"
98,11.497535,-58.010685,"x 0 to 20, y -80 to -55"
99,8.262811,-57.082863,"x 0 to 20, y -80 to -55"
bis,12.185255,-63.317398,"x 0 to 20, y -80 to -55"
clauses,19.214977,-56.166813,"x 0 to 20, y -80 to -55"
column,15.254341,-57.587715,"x 0 to 20, y -80 to -55"
ft,18.54702,-61.360245,"x 0 to 20, y -80 to -55"
hereof,14.427708,-57.004772,"x 0 to 20, y -80 to -55"
inclusive,12.743494,-62.553276,"x 0 to 20, y -80 to -55"
numeral,14.73718,-55.45377,"x 0 to 20, y -80 to -55"
para,19.166536,-57.399174,"x 0 to 20, y -80 to -55"
paras,17.14972,-55.43302,"x 0 to 20, y -80 to -55"
schedule,19.392677,-58.1529,"x 0 to 20, y -80 to -55"
sub-article,19.831633,-57.228157,"x 0 to 20, y -80 to -55"
sub-clause,17.020874,-56.522236,"x 0 to 20, y -80 to -55"
sub-paragraph,19.917347,-57.161724,"x 0 to 20, y -80 to -55"
sub-section,17.454168,-55.72129,"x 0 to 20, y -80 to -55"
subarticle,18.537233,-56.153713,"x 0 to 20, y -80 to -55"
subpara,16.934332,-55.387337,"x 0 to 20, y -80 to -55"
subparagraph,19.982628,-57.1129,"x 0 to 20, y -80 to -55"
subparagraphs,16.954609,-55.855274,"x 0 to 20, y -80 to -55"
subsections,19.298304,-56.110302,"x 0 to 20, y -80 to -55"
this,5.364798,-58.12938,"x 0 to 20, y -80 to -55"
transitory,11.413417,-61.994102,"x 0 to 20, y -80 to -55"
uk,18.546331,-61.361103,"x 0 to 20, y -80 to -55"
